"RT","ISI","Trial","Participant","Session","Threshold","MedianComputed","Feedback","Feedback_N_Positive","Feedback_N_Negative"
0.283,1004,76,"S002","S2",283,283,"Positive",75,0
0.25,615,77,"S002","S2",282,282,"Positive",76,0
0.284,1586,78,"S002","S2",282,282,"Positive",77,0
0.284,2027,79,"S002","S2",282,282,"Positive",78,0
0.317,2098,80,"S002","S2",283,283,"Positive",79,0
0.25,2220,81,"S002","S2",283,283,"Positive",80,0
0.25,1963,82,"S002","S2",282,282,"Positive",81,0
0.25,2758,83,"S002","S2",282,282,"Positive",82,0
0.383,643,84,"S002","S2",283,283,"Positive",83,0
0.283,3383,85,"S002","S2",283,283,"Positive",84,0
0.267,2310,86,"S002","S2",283,283,"Positive",85,0
0.283,1102,87,"S002","S2",283,283,"Positive",86,0
0.233,2237,88,"S002","S2",282,282,"Positive",87,0
0.267,2084,89,"S002","S2",282,282,"Positive",88,0
0.333,430,90,"S002","S2",283,283,"Positive",89,0
0.25,2272,91,"S002","S2",282,282,"Positive",90,0
0.233,2246,92,"S002","S2",282,282,"Positive",91,0
0.25,2622,93,"S002","S2",281,281,"Positive",92,0
0.284,2554,94,"S002","S2",281,281,"Positive",93,0
0.317,1073,95,"S002","S2",282,282,"Positive",94,0
0.333,154,96,"S002","S2",282,282,"Positive",95,0
0.267,2792,97,"S002","S2",282,282,"Positive",96,0
0.267,3397,98,"S002","S2",282,282,"Positive",97,0
0.483,2347,99,"S002","S2",284,284,"Positive",98,0
0.283,2080,100,"S002","S2",284,284,"Positive",99,0
0.25,2885,101,"S002","S2",284,284,"Positive",100,0
0.25,2501,102,"S002","S2",283,283,"Positive",101,0
0.283,1535,103,"S002","S2",283,283,"Positive",102,0
0.267,1951,104,"S002","S2",283,283,"Positive",103,0
0.267,1255,105,"S002","S2",283,283,"Positive",104,0
0.25,3114,106,"S002","S2",283,283,"Positive",105,0
0.35,338,107,"S002","S2",283,283,"Positive",106,0
0.267,1553,108,"S002","S2",283,283,"Positive",107,0
0.267,2243,109,"S002","S2",283,283,"Positive",108,0
0.267,3347,110,"S002","S2",283,283,"Positive",109,0
0.267,2169,111,"S002","S2",283,283,"Positive",110,0
0.383,123,112,"S002","S2",284,284,"Positive",111,0
0.283,1549,113,"S002","S2",284,284,"Positive",112,0
0.267,2923,114,"S002","S2",283,283,"Positive",113,0
0.283,2663,115,"S002","S2",283,283,"Positive",114,0
0.25,2954,116,"S002","S2",283,283,"Positive",115,0
0.283,2747,117,"S002","S2",283,283,"Positive",116,0
0.3,1711,118,"S002","S2",283,283,"Positive",117,0
0.25,3460,119,"S002","S2",283,283,"Positive",118,0
0.283,3321,120,"S002","S2",283,283,"Positive",119,0
0.45,1297,1,"S001","S1",NA,450,"Positive",0,0
0.467,2543,2,"S001","S1",458,458,"Positive",1,0
0.4,2345,3,"S001","S1",439,439,"Positive",2,0
0.35,3032,4,"S001","S1",417,417,"Positive",3,0
0.3,1414,5,"S001","S1",393,393,"Positive",4,0
0.3,2210,6,"S001","S1",378,378,"Positive",5,0
0.367,978,7,"S001","S1",376,376,"Positive",6,0
0.283,2123,8,"S001","S1",365,365,"Positive",7,0
0.283,3328,9,"S001","S1",356,356,"Positive",8,0
0.317,2503,10,"S001","S1",352,352,"Positive",9,0
0.3,3350,11,"S001","S1",347,347,"Positive",10,0
0.467,586,12,"S001","S1",357,357,"Positive",11,0
0.317,2699,13,"S001","S1",354,354,"Positive",12,0
0.3,3213,14,"S001","S1",350,350,"Positive",13,0
0.333,763,15,"S001","S1",349,349,"Positive",14,0
0.317,1937,16,"S001","S1",347,347,"Positive",15,0
0.334,3346,17,"S001","S1",346,346,"Positive",16,0
0.267,2607,18,"S001","S1",342,342,"Positive",17,0
0.483,228,19,"S001","S1",349,349,"Positive",18,0
0.367,1019,20,"S001","S1",350,350,"Positive",19,0
0.3,2815,21,"S001","S1",348,348,"Positive",20,0
0.3,1134,22,"S001","S1",346,346,"Positive",21,0
0.283,569,23,"S001","S1",343,343,"Positive",22,0
0.267,737,24,"S001","S1",340,340,"Positive",23,0
0.25,3088,25,"S001","S1",336,336,"Positive",24,0
