"RT","ISI","Trial","Participant","Session","Threshold","MedianComputed","Feedback","Feedback_N_Positive","Feedback_N_Negative"
0.3,1.956,57,"S002","S2",0.283,0.283,"Negative",2,0
0.317,0.12,58,"S002","S2",0.284,0.284,"Negative",0,1
0.25,2.251,59,"S002","S2",0.283,0.283,"Positive",0,2
0.267,1.888,60,"S002","S2",0.283,0.283,"Positive",1,0
0.266,1.029,61,"S002","S2",0.283,0.283,"Positive",2,0
0.283,2.568,62,"S002","S2",0.283,0.283,"Positive",3,0
0.283,0.955,63,"S002","S2",0.283,0.283,"Positive",4,0
0.267,1.711,64,"S002","S2",0.283,0.283,"Positive",5,0
0.266,1.677,65,"S002","S2",0.282,0.282,"Positive",6,0
0.283,1.993,66,"S002","S2",0.282,0.282,"Negative",7,0
0.317,0.105,67,"S002","S2",0.283,0.283,"Negative",0,1
0.267,1.57,68,"S002","S2",0.283,0.283,"Positive",0,2
0.267,1.659,69,"S002","S2",0.282,0.282,"Positive",1,0
0.283,0.847,70,"S002","S2",0.282,0.282,"Negative",2,0
0.284,2.251,71,"S002","S2",0.282,0.282,"Negative",0,1
0.267,3.412,72,"S002","S2",0.282,0.282,"Positive",0,2
0.267,3.153,73,"S002","S2",0.282,0.282,"Positive",1,0
0.367,0.479,74,"S002","S2",0.283,0.283,"Negative",2,0
0.267,1.261,75,"S002","S2",0.283,0.283,"Positive",0,1
0.283,1.004,76,"S002","S2",0.283,0.283,"Positive",1,0
0.25,0.615,77,"S002","S2",0.282,0.282,"Positive",2,0
0.284,1.586,78,"S002","S2",0.282,0.282,"Negative",3,0
0.284,2.027,79,"S002","S2",0.282,0.282,"Negative",0,1
0.317,2.098,80,"S002","S2",0.283,0.283,"Negative",0,2
0.25,2.22,81,"S002","S2",0.283,0.283,"Positive",0,3
0.25,1.963,82,"S002","S2",0.282,0.282,"Positive",1,0
0.25,2.758,83,"S002","S2",0.282,0.282,"Positive",2,0
0.383,0.643,84,"S002","S2",0.283,0.283,"Negative",3,0
0.283,3.383,85,"S002","S2",0.283,0.283,"Positive",0,1
0.267,2.31,86,"S002","S2",0.283,0.283,"Positive",1,0
0.283,1.102,87,"S002","S2",0.283,0.283,"Positive",2,0
0.233,2.237,88,"S002","S2",0.282,0.282,"Positive",3,0
0.267,2.084,89,"S002","S2",0.282,0.282,"Positive",4,0
0.333,0.43,90,"S002","S2",0.283,0.283,"Negative",5,0
0.25,2.272,91,"S002","S2",0.282,0.282,"Positive",0,1
0.233,2.246,92,"S002","S2",0.282,0.282,"Positive",1,0
0.25,2.622,93,"S002","S2",0.281,0.281,"Positive",2,0
0.284,2.554,94,"S002","S2",0.281,0.281,"Negative",3,0
0.317,1.073,95,"S002","S2",0.282,0.282,"Negative",0,1
0.333,0.154,96,"S002","S2",0.282,0.282,"Negative",0,2
0.267,2.792,97,"S002","S2",0.282,0.282,"Positive",0,3
0.267,3.397,98,"S002","S2",0.282,0.282,"Positive",1,0
0.483,2.347,99,"S002","S2",0.284,0.284,"Negative",2,0
0.283,2.08,100,"S002","S2",0.284,0.284,"Positive",0,1
0.25,2.885,101,"S002","S2",0.284,0.284,"Positive",1,0
0.25,2.501,102,"S002","S2",0.283,0.283,"Positive",2,0
0.283,1.535,103,"S002","S2",0.283,0.283,"Positive",3,0
0.267,1.951,104,"S002","S2",0.283,0.283,"Positive",4,0
0.267,1.255,105,"S002","S2",0.283,0.283,"Positive",5,0
0.25,3.114,106,"S002","S2",0.283,0.283,"Positive",6,0
0.35,0.338,107,"S002","S2",0.283,0.283,"Negative",7,0
0.267,1.553,108,"S002","S2",0.283,0.283,"Positive",0,1
0.267,2.243,109,"S002","S2",0.283,0.283,"Positive",1,0
0.267,3.347,110,"S002","S2",0.283,0.283,"Positive",2,0
0.267,2.169,111,"S002","S2",0.283,0.283,"Positive",3,0
0.383,0.123,112,"S002","S2",0.284,0.284,"Negative",4,0
0.283,1.549,113,"S002","S2",0.284,0.284,"Positive",0,1
0.267,2.923,114,"S002","S2",0.283,0.283,"Positive",1,0
0.283,2.663,115,"S002","S2",0.283,0.283,"Positive",2,0
0.25,2.954,116,"S002","S2",0.283,0.283,"Positive",3,0
0.283,2.747,117,"S002","S2",0.283,0.283,"Positive",4,0
0.3,1.711,118,"S002","S2",0.283,0.283,"Negative",5,0
0.25,3.46,119,"S002","S2",0.283,0.283,"Positive",0,1
0.283,3.321,120,"S002","S2",0.283,0.283,"Positive",1,0
0.45,1.297,1,"S001","S1",NA,0.45,"Positive",0,0
0.467,2.543,2,"S001","S1",0.458,0.458,"Negative",1,0
0.4,2.345,3,"S001","S1",0.439,0.439,"Positive",0,1
0.35,3.032,4,"S001","S1",0.417,0.417,"Positive",1,0
0.3,1.414,5,"S001","S1",0.393,0.393,"Positive",2,0
0.3,2.21,6,"S001","S1",0.378,0.378,"Positive",3,0
0.367,0.978,7,"S001","S1",0.376,0.376,"Positive",4,0
0.283,2.123,8,"S001","S1",0.365,0.365,"Positive",5,0
0.283,3.328,9,"S001","S1",0.356,0.356,"Positive",6,0
0.317,2.503,10,"S001","S1",0.352,0.352,"Positive",7,0
0.3,3.35,11,"S001","S1",0.347,0.347,"Positive",8,0
0.467,0.586,12,"S001","S1",0.357,0.357,"Negative",9,0
